S.no.,Team,Project ,Location,Awarded ,Amount,Project date ,Allocated person,Organisation ,Status
,Team D,"Development of Students Hostel Buildings with Associated Facilities under Phase 2A SH: C/o 12 Blocks of Students Hostel (G 4) having single, double & Triple Occupancy Stilt area, Dining Hall (B G 2), Sub-Station (G 2) including internal EI, internal services, fire fighting, fire alarm system lifts, UPS, CCTV, Street lighting, Overhead Water Tanks, UG Tank, pumps, external development works(internal roads, paths, external services), bulk services, VRF System, HVAC Piping & Ducting System, Passive LAN System, Hybrid Type solar water heating system, Heat Exchange System, Substation equipments etc. in EPC (Mode-II) at village Palaj, IIT Gandhinagar, Gujarat.<br><b>Subwork/Packages:</b>One","Gandhinagar, Gujarat",C K CONSTRUCTIONS,128.70 Cr,25 Jul 2024,Dakshiani,Central Public Works Department,Conatcted
,Team D,Custom Bid for Services - Supply Installation and commissioning and AMC of Grid connected Solar Roo,"Vadodara, Gujarat",SUVI AUTOMATION PRIVATE LIMITED,1.05 Cr,18 Jun 2024,Dakshiani,Power Grid Corporation Of India Limited,Conatcted
,Team D,Providing Supplying and Installation of Solar System at Dharampur Nagarpalika,"Valsad, Gujarat",SAMARPAN CORPORATION,1.41 Cr,07 Jun 2024,Dakshiani,Municipality,Conatcted
,Team D,"SOLAR PANEL,SOLAR INVERTER,SOLAR STRUCTURE,NUT BOLT,DC CABLE RED,DC CABLE BLACK,AC DB,DC DB,COPPER","Valsad, Gujarat",MANTRA ENTERPRISE,1.98 Cr,14 Mar 2024,Dakshiani,Municipality,Conatcted
,Team D,"Design, Engineering, Procurement & Supply, Construction & Sitc Of 2.2mw(ac) Solar Power System","Vadodara, Gujarat",GENSOL ENGINEERING PRIVATE LIMITED,14.31 Cr,28 Jul 2023,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,Custom Bid for Services - Supply Installation and AMC of Grid Connected Solar Rooftop System in Var,"Kachchh, Gujarat",RAJASTHAN ELECTRONICS AND INSTRUMENTS LIMITED,2.34 Cr,28 Apr 2023,Dakshiani,Power Grid Corporation Of India Limited,Conatcted
,Team D,Solar power Plant At Cambay Asset,"Anand, Gujarat",UNEECOPS TECHNOLOGIES,16.70 Cr,23 Nov 2022,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,"Smart photovoltaic tree 10KW,Smart photovoltaic tree","Mahisagar, Gujarat",SOLAR SINGULARITY PRIVATE LIMITED,1.25 Cr,26 Sep 2022,Dakshiani,Municipality,Conatcted
,Team D,"General Operation And Maintenance Works Of 100 Mw Solar Photovoltaic Grid-connected Power Plant At Gsecl, Raghanesda Solar Park Phase-i, Gujrat For A Period Of 120 Months","Banaskantha, Gujarat",Kunamneni Technologies Private Limited,12.48 Cr,21 Sep 2022,Dakshiani,Bharat Heavy Electricals Limited,Conatcted
,Team D,"Operation And Maintenance Works Of 20mw (ac) Solar Photovoltaic Grid-connected Power Plant At Ntpc Gandhar, Gujrat For A Period Of 36 Months","Bharuch, Gujarat",Bondada Engineering Pvt Ltd,3.87 Cr,16 Jul 2022,Dakshiani,Bharat Heavy Electricals Limited,Conatcted
,Team D,"“ARC FOR CONSTRUCTION FOR SRP FOUNDATION, PANEL FOUNDATION AND ELECTRICAL DP PLA","Mahesana, Gujarat","GITANJALI CONSTRUCTION,SHREEJI CONSTRUCTION,K.B. DESAI,D R ENTERPRISES",4.31 Cr,09 Jun 2022,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,PROCUREMENT OF SRP SURFACE UNIT WITH MOTOR & VFD PANELS FOR ARTIFICIAL LIFT,"Ahmedabad, Gujarat","PT. SERVOTECH INDONESIA,BATAM",36.69 Cr,22 Feb 2022,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,PROVISION OF SOLAR POWER PLANT AT AF STATION BARODA,"Vadodara, Gujarat",M K ENGINEERS CO.,3.68 Cr,16 Dec 2021,Dakshiani,Military Engineer Services,Conatcted
,Team D,"Supply, Installation, Testing and Commissioning of VFD Panels","Mahesana, Gujarat",OPTIMIZED SOLUTIONS LIMITED,2.68 Cr,23 Nov 2021,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,"Transformer Package TR-33 for 2X500 MVA, 400/220/33 kV Autotransformer (3-Ph) at 765/400/220kV Bhadla-II (Extension) PS under Transmission System Strengthening Scheme for evacuation of power from Solar Energy Zones in Rajasthan (8.1 GW) under Phase II Part B1 (Part E).","Rajkot, Gujarat",M/s. ABB Power Products and Systems India Limited (APPSIL),32.24 Cr,08 Nov 2021,Dakshiani,Power Grid Corporation Of India Limited,Conatcted
,Team D,"Bid For Design, Engineering, Supply & Procurement, Erection, Testing, Commissioning And Comprehensive Operation & Maintenance For 5 (five) Years For 406 Kw (ac) Grid Connected Rooftop Solar Photovoltaic Power Project On Rooftop Of Various Buildings At Two Locations (i) Site 1- Apparel Park Depot (206 Kw) And (ii) Site 2- Gyaspur Depot (200 Kw) Of Gujarat Metro Rail Corporation (gmrc) Ltd, Gujarat.","Ahmedabad, Gujarat",M/s. Sai Cabtech Pvt. Ltd,-,15 Apr 2021,Dakshiani,Gujarat Metro Rail Corporation Limited,Conatcted
,Team D,5mw Solar Plant At Hazira On Lstk Bais,"Surat, Gujarat",MADHAV INFRA PROJECTS LIMITED,27.69 Cr,31 Mar 2021,Dakshiani,Oil And Natural Gas Corporation Limited,Conatcted
,Team D,"JC19ELT325 Design, Engineering, Procurement, Construction of 600KWp On Grid Roof Mounted Captive Solar Power Project at IndianOil Gujarat Refinery Township.","Vadodara, Gujarat",SunSource Energy Pvt. Ltd.,2.80 Cr,04 May 2020,Dakshiani,Indian Oil Corporation Limited,Conatcted
,Team D,PROVN OF 0.5 MW SOLAR POWER PLANT AT MIL STN JAMNAGAR,"Jamnagar, Gujarat",KOSOL ENERGIE PVT. LTD.,3.50 Cr,26 Jul 2019,Dakshiani,Military Engineer Services,Conatcted
,Team D,PROVN OF 0.72 MW SOLAR POWER PLANT AT MIL STN BHUJ,"Kachchh, Gujarat",shree ram laxman sthaptya co,4.68 Cr,21 Jan 2019,Dakshiani,Military Engineer Services,Conatcted
,Team D,PROVN OF 01 MW SOLAR POWER PLANT AT MIL STN DHRANGDHRA,"Surendra Nagar, Gujarat",shree ram laxman sthaptya co,5.22 Cr,19 Jan 2019,Dakshiani,Military Engineer Services,Conatcted
,Team D,PROVN OF 01 MW SOLAR POWER WK AT VADODARA,"Vadodara, Gujarat",Bansal and Company,7.14 Cr,26 Apr 2018,Dakshiani,Military Engineer Services,Conatcted
,Team D,"SITC of Design Based Roof Top Solar Photo Voltaic Power Plant for Terminal -2 at SVPI Airport, Ahmedabad","Ahmedabad, Gujarat",PROZEAL INFRA ENGINEERING PRIVATE LIMITED,3.36 Cr,21 Feb 2018,Dakshiani,Airports Authority Of India,Conatcted
,Team D,"Design, Supply, Installation, Testing and Commissioning of 675 KWp Grid Connected Ground Mounted Solar Photo Voltaic Power Plant at Vadodara Airport.","Vadodara, Gujarat",U R Energy India Pvt. Ltd.,3.57 Cr,16 Feb 2018,Dakshiani,Airports Authority Of India,Conatcted
,Team D,8 MWp Solar Power Project at IndianOil Sanand BP Gujarat,"Vadodara, Gujarat",Jakson Engineers Limited,34.84 Cr,01 Dec 2016,Dakshiani,Indian Oil Corporation Limited,Conatcted
,Team D,"Supply, Installation, Testing, Commissioning And 5 Years Amc Of 1000 Kw Grid Interactive Solar Power System At Gujarat Refinery","Vadodara, Gujarat",FEPL ENGG. (P) LTD.,4.97 Cr,11 Mar 2016,Dakshiani,Indian Oil Corporation Limited,Conatcted
,Team D,"Supply, Erection and Commissioning Solar Street Lighting System of 24 Watt LED 500 Nos. Street Light Poles at KASEZ, Gandhidham.","Kachchh, Gujarat",SUNRISE TECHNOLOGY,1.47 Cr,25 Jan 2016,Dakshiani,NBCC India Limited,Conatcted
,Team D,"General O and M works of 100 MW Solar PV Power plant at GSECL, Raghanesda Solar Park Phase II Gujrat","Banaskantha, Gujarat",SAHARA CONSTRUCTION COMPANY,10.81 Cr,-,Dakshiani,Bharat Heavy Electricals Limited,Conatcted
,Team D,"Setting up of 1 MW Solar Power Project on Rooftop under Viability Gap Funding VGF Scheme at KASEZ Gandhidham, Kutch","Kachchh, Gujarat",KEC International Limited,5.15 Cr,-,Dakshiani,NBCC India Limited,Conatcted
,Team D,Provision of new canopy with LED lights at Six Retail Outlets Lot05 under Ahmedabad Divisional Office of Gujarat State Office,"Ahmedabad, Gujarat",KANISHKA CONSTRUCTION,1.35 Cr,-,Dakshiani,Indian Oil Corporation Limited,Conatcted
,Team D,Provision of new canopy with LED lights at Seven Retail Outlets Lot04 under Ahmedabad Divisional Office of Gujarat State Office,"Ahmedabad, Gujarat",KANISHKA CONSTRUCTION,1.61 Cr,-,Dakshiani,Indian Oil Corporation Limited,Conatcted
,Team D,"Technical O and M works of 100 MW Solar PV Power plant at GSECL, Raghanesda Solar Park Phase iI Gujrat","Banaskantha, Gujarat",SHRI SAI ELECTRICAL,10.67 Cr,-,Dakshiani,Bharat Heavy Electricals Limited,Conatcted
