S.no.,Team,Project ,Location,Awarded ,Amount,Project date ,Allocated person,Organisation ,Status
53,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Ms Bhavya Enterprises (Prop-Nisha Singh),,,Ravi,PWD,Contacted
54,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,A K Builder Prop Abdul Khalid,,,Ravi,PWD,Contacted
55,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,M/S Ganpati Infra,,,Ravi,PWD,Contacted
56,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Sharma Enterprises Prop Raju Sharma,,,Ravi,PWD,Contacted
57,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Singh Construction,,,Ravi,PWD,Contacted
58,Team A,General Cold calling (Extracted Bulk List) Big Contractor,Bihar,Aditya Enterprises Prop Brajesh Kumar Singh,,,Ravi,PWD,Contacted
59,Team A,Construction of Flatted Factory at Sector 28Yamuna Expressway Industrial Development Authority on EPC Basis,Uttar Pradesh,m/s abhilasha enterprises,97.4,,Ravi,Yamuna Expressway Industrial Development Authority,Contacted
60,Team A,Design Engineering And Procurement For Construction Of Medical College Building Library Hostels Etc In Government Institute Of Medical Sciences Greater Noida District Gautam Buddha Nagar Uttar Pradesh On Epc Mode,Uttar Pradesh,m/s abhilasha enterprises,121.4,,Ravi,Yamuna Expressway Industrial Development Authority,Contacted
61,Team A,"Development of Silicon City Phase-IV Group Housing including allied works at Plot No. GH 01 A, Sector-76, Noida (UP) on EPC basis with O&M for 02 years",Uttar Pradesh,m/s j kumar infraprojects ltd.,1073.3,,Ravi,NBCC INDIA,Contacted
62,Team A,Design Engineering and Procurement for Construction of Residential and Non Residential Buildings of 49th Vahini PAC Battalion at District Gautambudhnagar UP India on EPC mode,Uttar Pradesh,kalyan toll infrastructure limited,219.3,,Ravi,Planning Department,Contacted
63,Team A,Lucknow - CE -NCR - EE-Noida-CD,Uttar Pradesh,hilltop ref engineers private limited,58.1,,Ravi,Central Public Works Department,Contacted
64,Team A,Construction Of New Office Building And Upgradation Of Infrastructure Facilities Stormwater Drains Resurfacing Of Roads Boundary Wall Height Extension Etc At Noida Special Economic Zone Nsez Phase-ii Noida U.p,Uttar Pradesh,universal contractors and engineers limited,59.5,,Ravi,Engineers India Limited,Contacted
65,Team A,"Balance Works Of Barrage And Desilting Chamber-open Works, Tapovan Vishnugad Hydro Electric Power Project (4x130 Mw),cs-5505-905a-9",Uttar Pradesh,pes engineers private limited,331.6,,Ravi,NTPC,Contacted
66,Team A,Internal Development work of Sector 16 part 3 and Balance work of part I YEIDA on EPC basis,Uttar Pradesh,m/s sunil kumar jain,54.5,,Ravi,Yamuna Expressway Industrial Development Authority,Contacted
67,Team A,Pipeline Laying And Associated Works For C2/c3 Pipeline Project From Vijaipur To Pata,Uttar Pradesh,jsiw infrastructure private limited,190,,Ravi,GAIL,Contacted
